NO.2 M/B F.O. TEMP BY-PASS;XLBI469;flaga.pv
NO.2 M/B FURNACE PURGE;XLBI470;flaga.pv
NO.2 M/B HOT START V/V OP;ZLHLBI471;flaga.pv
NO.2 M/B BNR CONT MODE AUTO/MAN;XLBI472;flaga.pv
NO.2 M/B FUEL MODE FO;XLBI474;flaga.pv
NO.2 M/B FUEL MODE GAS;XLBI475;flaga.pv
NO.2 M/B B/FO BNR ON;XLBI476;flaga.pv
NO.2 M/B 2/FO BNR ON;XLBI477;flaga.pv
NO.2 M/B 3/FO BNR ON;XLBI478;flaga.pv
NO.2 M/B HDR N2 PURGE START;XLBI479;flaga.pv
NO.2 M/B F.W. CONT. AUTO/MAN;XLBI480;flaga.pv
NO.2 M/B ABC CONT. POS BGB/ECR;XLBI481;flaga.pv
NO.2 M/B F.G. SHUT-OFF V/V OPEN;ZLHLBI482;flaga.pv
NO.2 M/B F.O. SHUT-OFF V/V OPEN;ZLHLBI483;flaga.pv
NO.2 M/B B/GAS BNR ON;XLBI484;flaga.pv
NO.2 M/B 2/GAS BNR ON;XLBI485;flaga.pv
NO.2 M/B 3/GAS BNR ON;XLBI486;flaga.pv
NO.2 M/B IGN AIR RATE SET;XLBI487;flaga.pv
NO.2 M/B IGN FO RATE SET;XLBI488;flaga.pv
NO.2 M/B M/GAS VENT V/V OPEN;ZLHLBI489;flaga.pv
NO.2 M/B GAS CONT. V/V IGN POS.;XLBI490;flaga.pv
NO.2 M/B GAS HDR VENT V/V OPEN;ZLHLBI491;flaga.pv
NO.2 M/B HDR N2 PURGE V/V OPEN;ZLHLBI492;flaga.pv
NO.2 M/B B/BNR NO.1 F.O. V/V OPEN;ZLHLBI493;flaga.pv
NO.2 M/B B/BNR NO.2 F.O. V/V OPEN;ZLHLBI494;flaga.pv
NO.2 M/B 2/BNR NO.1 F.O. V/V OPEN;ZLHLBI495;flaga.pv
NO.2 M/B 2/BNR NO.2 F.O. V/V OPEN;ZLHLBI496;flaga.pv
NO.2 M/B 3/BNR NO.1 F.O. V/V OPEN;ZLHLBI497;flaga.pv
NO.2 M/B 3/BNR NO.2 F.O. V/V OPEN;ZLHLBI498;flaga.pv
NO.2 M/B F.O. RECIRC. V/V OPEN;ZLHLBI499;flaga.pv
NO.2 M/B B/BNR ATM V/V OPEN;ZLHLBI500;flaga.pv
NO.2 M/B 2/BNR ATM V/V OPEN;ZLHLBI501;flaga.pv
NO.2 M/B 3/BNR ATM V/V OPEN;ZLHLBI502;flaga.pv
NO.2 M/B B/BNR NO.1 PURGE V/V OPEN;ZLHLBI503;flaga.pv
NO.2 M/B B/BNR NO.2 PURGE V/V OPEN;ZLHLBI504;flaga.pv
NO.2 M/B 2/BNR NO.1 PURGE V/V OPEN;ZLHLBI505;flaga.pv
NO.2 M/B 2/BNR NO.2 PURGE V/V OPEN;ZLHLBI506;flaga.pv
NO.2 M/B 3/BNR NO.1 PURGE V/V OPEN;ZLHLBI507;flaga.pv
NO.2 M/B 3/BNR NO.2 PURGE V/V OPEN;ZLHLBI508;flaga.pv
NO.2 M/B B/BNR NO.1 GAS V/V OPEN;ZLHLBI509;flaga.pv
NO.2 M/B B/BNR NO.2 GAS V/V OPEN;ZLHLBI510;flaga.pv
NO.2 M/B 2/BNR NO.1 GAS V/V OPEN;ZLHLBI511;flaga.pv
NO.2 M/B 2/BNR NO.2 GAS V/V OPEN;ZLHLBI512;flaga.pv
NO.2 M/B 3/BNR NO.1 GAS V/V OPEN;ZLHLBI513;flaga.pv
NO.2 M/B 3/BNR NO.2 GAS V/V OPEN;ZLHLBI514;flaga.pv
NO.2 M/B B/BNR AIR REG OPEN;ZLHLBI515;flaga.pv
NO.2 M/B 2/BNR AIR REG OPEN;ZLHLBI516;flaga.pv
NO.2 M/B 3/BNR AIR REG OPEN;ZLHLBI517;flaga.pv
NO.2 M/B B/BNR IGN INSERT;XLBI518;flaga.pv
NO.2 M/B 2/BNR PORT IGN INSERT;XLBI519;flaga.pv
NO.2 M/B 3/BNR PORT IGN INSERT;XLBI520;flaga.pv
NO.2 M/B B/BNR N2 PURGE V/V OPEN;ZLHLBI521;flaga.pv
NO.2 M/B 2/BNR N2 PURGE V/V OPEN;ZLHLBI522;flaga.pv
NO.2 M/B 3/BNR N2 PURGE V/V OPEN;ZLHLBI523;flaga.pv
NO.2 M/B B/BNR NO.1 F/E ON;XLBI524;flaga.pv
NO.2 M/B B/BNR NO.2 F/E ON;XLBI525;flaga.pv
NO.2 M/B 2/BNR NO.1 F/E ON;XLBI526;flaga.pv
NO.2 M/B 2/BNR NO.2 F/E ON;XLBI527;flaga.pv
NO.2 M/B 3/BNR NO.1 F/E ON;XLBI528;flaga.pv
NO.2 M/B 3/BNR NO.2 F/E ON;XLBI529;flaga.pv
NO.2 MAIN STM PRESS HIGH;PAHBI532;flaga.pv
NO.2 MAIN STM PRESS LOW;PALBI533;flaga.pv
NO.2 F.O. HDR PRESS HIGH;PAHBI535;flaga.pv
NO.2 F.O. HDR PRESS LOW;PALBI536;flaga.pv
NO.2 F.G. DIFF PRESS HIGH;DPAHBI538;flaga.pv
NO.2 F.G. DIFF PRESS LOW;DPALBI539;flaga.pv
NO.2 M/B ATM STM PRESS HIGH;PAHBI540;flaga.pv
NO.2 M/B ATM STM PRESS LOW;PALBI541;flaga.pv
NO.2 M/B F.G. TRIP;XABI545;flaga.pv
NO.2 M/B FUEL MODE DUAL;XLBI546;flaga.pv
NO.2 M/B F.O. TRIP;XABI550;flaga.pv
NO.2 M/B F.O. PRESS DEV HIGH;XABI551;flaga.pv
NO.2 M/B STM FLOW DEV HIGH;XABI552;flaga.pv
NO.2 M/B M/GAS VENT V/V TROUBLE;XABI489_01;flaga.pv
NO.2 M/B F.G. SHUT-OFF V/V TROUBLE;XABI482_01;flaga.pv
NO.2 M/B HDR N2 PURGE V/V TROUBLE;XABI492_01;flaga.pv
NO.2 M/B GAS HDR VENT V/V TROUBLE;XABI491_01;flaga.pv
NO.2 M/B B/BNR NO.1 GAS V/V TROUBLE;XABI509_01;flaga.pv
NO.2 M/B B/BNR NO.2 GAS V/V TROUBLE;XABI510_01;flaga.pv
NO.2 M/B 2/BNR NO.1 GAS V/V TROUBLE;XABI511_01;flaga.pv
NO.2 M/B 2/BNR NO.2 GAS V/V TROUBLE;XABI512_01;flaga.pv
NO.2 M/B 3/BNR NO.1 GAS V/V TROUBLE;XABI513_01;flaga.pv
NO.2 M/B 3/BNR NO.2 GAS V/V TROUBLE;XABI514_01;flaga.pv
NO.2 M/B B/BNR N2 PURGE V/V TROUBLE;XABI521_01;flaga.pv
NO.2 M/B 2/BNR N2 PURGE V/V TROUBLE;XABI522_01;flaga.pv
NO.2 M/B 3/BNR N2 PURGE V/V TROUBLE;XABI523_01;flaga.pv
NO.2 M/B B/BNR AIR REG TROUBLE;XABI515_01;flaga.pv
NO.2 M/B 2/BNR AIR REG TROUBLE;XABI516_01;flaga.pv
NO.2 M/B 3/BNR AIR REG TROUBLE;XABI517_01;flaga.pv
NO.2 M/B B/BNR IGN TROUBLE;XABI518_01;flaga.pv
NO.2 M/B 2/BNR PORTABLE IGNITOR TROUBLE;XABI519_01;flaga.pv
NO.2 M/B 3/BNR PORTABLE IGNITOR TROUBLE;XABI520_01;flaga.pv
NO.2 M/B B/BNR NO.1 F.O V/V TROUBLE;XABI493_01;flaga.pv
NO.2 M/B B/BNR NO.2 F.O V/V TROUBLE;XABI494_01;flaga.pv
NO.2 M/B 2/BNR NO.1 F.O V/V TROUBLE;XABI495_01;flaga.pv
NO.2 M/B 2/BNR NO.2 F.O V/V TROUBLE;XABI496_01;flaga.pv
NO.2 M/B 3/BNR NO.1 F.O V/V TROUBLE;XABI497_01;flaga.pv
NO.2 M/B 3/BNR NO.2 F.O V/V TROUBLE;XABI498_01;flaga.pv
NO.2 M/B B/BNR ATM V/V TROUBLE;XABI500_01;flaga.pv
NO.2 M/B 2/BNR ATM V/V TROUBLE;XABI501_01;flaga.pv
NO.2 M/B 3/BNR ATM V/V TROUBLE;XABI502_01;flaga.pv
NO.2 M/B B/BNR NO.1 PURGE V/V TROUBLE;XABI503_01;flaga.pv
NO.2 M/B B/BNR NO.2 PURGE V/V TROUBLE;XABI504_01;flaga.pv
NO.2 M/B 2/BNR NO.1 PURGE V/V TROUBLE;XABI505_01;flaga.pv
NO.2 M/B 2/BNR NO.2 PURGE V/V TROUBLE;XABI506_01;flaga.pv
NO.2 M/B 3/BNR NO.1 PURGE V/V TROUBLE;XABI507_01;flaga.pv
NO.2 M/B 3/BNR NO.2 PURGE V/V TROUBLE;XABI508_01;flaga.pv
NO.2 M/B F.O. REC. V/V TROUBLE;XABI499_01;flaga.pv
NO.2 M/B F.O. SHUT-OFF V/V TROUBLE;XABI483_01;flaga.pv
NO.2 M/B HOT START V/V TROUBLE;XABI471_01;flaga.pv
NO.2 M/B F/E BYPASS MODE;XLBI554;flaga.pv
NO.2 M/B STEAM TEMP DEV. H;XABI426;flaga.pv
NO.2 M/B STEAM PRESS DEV. H;XABI427;flaga.pv
NO.2 M/B F/E POWER FAIL;XABI435;flaga.pv
NO.2 M/B B/BNR NO.1 F/E FAIL;XABI436;flaga.pv
NO.2 M/B B/BNR NO.2 F/E FAIL;XABI437;flaga.pv
NO.2 M/B 2/BNR NO.1 F/E FAIL;XABI438;flaga.pv
NO.2 M/B 2/BNR NO.2 F/E FAIL;XABI439;flaga.pv
NO.2 M/B 3/BNR NO.1 F/E FAIL;XABI440;flaga.pv
NO.2 M/B 3/BNR NO.2 F/E FAIL;XABI441;flaga.pv
NO.2 M/B SMOKE HIGH;SDAHBI442;flaga.pv
NO.2 M/B O2 CONTENT LOW;OALBI443;flaga.pv
NO.2 M/B FG TEMP HIGH;TAHBI444;flaga.pv
NO.2 M/B FG TEMP LOW;TALBI445;flaga.pv
NO.2 M/B NO.1 ABC CPU FAIL;XABI447;flaga.pv
NO.2 M/B NO.1 ABC CPU RUN;XLBI448;flaga.pv
NO.2 M/B NO.2 ABC CPU FAIL;XABI449;flaga.pv
NO.2 M/B NO.2 ABC CPU RUN;XLBI450;flaga.pv
NO.2 M/B NO.1 BMS CPU FAIL;XABI451;flaga.pv
NO.2 M/B NO.1 BMS CPU RUN;XLBI452;flaga.pv
NO.2 M/B NO.2 BMS CPU FAIL;XABI453;flaga.pv
M/T TRIP BYPASS;XLTX005;flaga.pv
M/T TRIP BYPASS IN AST;XLTX006;flaga.pv
M/T MAIN STM PRESS. LOW;XATX011;flaga.pv
M/T MICRO-COMPUTER AB;XATX019;flaga.pv
M/T CTL SIGNAL DISCONN.;XATX020;flaga.pv
M/T TRIP CIRCUIT DISCONN.;XATX023;flaga.pv
M/T SHAFT REV. SIGNAL AB;XATX021;flaga.pv
M/T MANE V LIFT F/B AB;XATX022;flaga.pv
M/T SAFETY SYS ABNOR;XATX024;flaga.pv
M/T REM. CTL SYS. ABNOR;XATX015;flaga.pv
M/T WRONG WAY;XATX018;flaga.pv
M/T SAFETY SYS PWR FAIL;XATX025;flaga.pv
M/T SHAFT STOP;XATX037;flaga.pv
M/T REM CTL SYS PWR FAIL;XATX016;flaga.pv
M/T REMOTECON CPU CHANGE;XATX073;flaga.pv
M/T AUTO SPIN FAIL;XATX036;flaga.pv
M/T PROGRAM INTL;XATX009;flaga.pv
M/T DRAIN V FAIL;XATX070;flaga.pv
WATER SPRAY(AST) V FAIL;XATX071;flaga.pv
M/T AST GUARD V FAIL;XATX066;flaga.pv
M/T TELEGRAPH POWER FAIL;XATX017;flaga.pv
M/T F.W.E;XLTX074;flaga.pv
M/T CTL SYS AC PWR ON;XATX087;flaga.pv
M/T CTL SYS DC PWR ON;XATX088;flaga.pv
M/T DIRECT CTL PWR ON;XATX089;flaga.pv
M/T TRIP SYS POWER ON;XATX090;flaga.pv
M/T TELEGRAPH SET AHD;XLTX026;flaga.pv
M/T TELEGRAPH SET STOP;XLTX027;flaga.pv
M/T TELEGRAPH SET AST;XLTX028;flaga.pv
M/T TELEGRAPH SET EM'CY FULL;XLTX029;flaga.pv
M/T RPM FEEDBACK CTL;XLTX033;flaga.pv
AHD INC. AT RAPID SPEED;XLTX079;flaga.pv
AHD INC. AT LOW SPEED;XLTX080;flaga.pv
AHD DEC. AT RAPID SPEED;XLTX082;flaga.pv
AST INC. AT RAPID SPEED;XLTX083;flaga.pv
AST DEC.;XLTX085;flaga.pv
M/T PROGRAM CTL BYPASS;XLTX034;flaga.pv
M/T MANE. V CLOSE;ZLLTX041;flaga.pv
M/T REMOTECON POS. W/H;XLTX032;flaga.pv
M/T REMOTECON POS. ECR;XLTX031;flaga.pv
M/T REMOTECON POS. MACH;XLTX030;flaga.pv
AHD DEC. AT LOW SPEED;XLTX081;flaga.pv
AST INC. AT LOW SPEED;XLTX084;flaga.pv
M/T AUTO SPIN START;XLTX035;flaga.pv
M/T SHAFT RUNNING;XLTX038;flaga.pv
M/T MANE. V AHEAD OPEN;ZLHTX042;flaga.pv
M/T MANE. V AST OPEN;ZLHTX043;flaga.pv
M/T MANE. V AHEAD FULL OPEN;ZLHTX044;flaga.pv
M/T MANE. V AST FULL OPEN;ZLHTX045;flaga.pv
M/T DIRECT CTL MODE;XLTX086;flaga.pv
M/T RPM RAISE;XLTX039;flaga.pv
M/T RPM LOWER;XLTX040;flaga.pv
M/T IP BLEED V OPEN;ZLHTX048;flaga.pv
M/T IP BLEED V CLOSE;ZLLTX049;flaga.pv
M/T LP BLEED V OPEN;ZLHTX050;flaga.pv
M/T LP BLEED V CLOSE;ZLLTX051;flaga.pv
M/T HP BLEED DRAIN V OP;ZLHTX052;flaga.pv
M/T HP BLEED DRAIN V CL;ZLLTX052_01;flaga.pv
M/T HP BLEED V AUTO CTL;XLTX075;flaga.pv
M/T IP BLEED V AUTO CTL;XLTX076;flaga.pv
M/T LP BLEED V AUTO CTL;XLTX077;flaga.pv
M/T HP/IP/LP V ECP CTL;XLTX078;flaga.pv
M/T 2ND STAGE DRAIN V OP;ZLHTX053;flaga.pv
M/T 2ND STAGE DRAIN V CL;ZLLTX053_01;flaga.pv
