220;1;0*NORMAL
6456;1;1*ON
5034;32765;72.344315
482;1;1*AUTO
118;1;1*RUN
584;1;1*ON
5941;1;2.923820
6403;1;0*OFF
6416;1;0*OFF
6397;1;1*ON
1212;32763;0.338507
6104;1;3.190000
1282;32759;1*NORMAL
1768;32760;1.572680
4964;32748;1*NORMAL
3486;32763;1.176922
1415;32761;1*NOR
1190;32763;13.113451
1394;32761;1*NORMAL
619;1;-159.960000
6081;1;0.000000
6101;1;0.000000
6007;1;3756.279785
2776;32763;-54.434402
2308;32759;0*NORMAL
3444;32759;1*NORMAL
3930;32760;1*REMOTE
2210;32760;1*NORMAL
2317;32757;0*FAIL
6228;1;0*NORMAL
2143;32763;35.851974
2743;32763;6.212372
1881;32759;1*ST_BY
1836;32748;1*NOR
1968;32765;0.142828
1635;32748;1*NORMAL
3112;32759;1*NORMAL
3922;32760;1*REMOTE
171;1;0*NORMAL
3899;32760;1*STBY
3245;32759;1*NORMAL
378;1;0*NORMAL
172;1;0*NORMAL
6424;1;0*OFF
635;1;-133.860000
292;1;1*OPEN
5868;1;0.000000
5662;1;1*CLOSE
6005;1;3621.790039
3171;32765;39.717885
545;1;0*OFF
6037;32763;2252.029785
3409;32759;1*NORMAL
726;1;1102.240000
1141;32750;0*OFF
2167;32763;95.670242
1281;32759;1*NORMAL
2730;32763;-47.728760
2265;32761;1*NORMAL
3248;32760;1*NORMAL
2496;32765;0.000000
3875;32759;1*NORMAL
460;1;1*CLOSE
2224;32758;1*NORMAL
6504;1;1*ON
287;1;1*OPEN
6394;1;1*ON
5707;1;0*NORMAL
3676;32763;41.305973
2359;32760;1*REMOTE
144;1;0*OFF
2156;32763;33.494156
1433;32761;0*OFF
3056;32763;12.845831
1385;32761;1*NORMAL
6110;1;0.900000
6488;1;1*ON
341;1;0*NORMAL
1748;32759;1*NORMAL
3173;32760;1*NORMAL
3034;32748;1*NORMAL
322;1;0*NORMAL
2563;32748;1*NORMAL
3755;32759;1*NORMAL
593;1;1*ON
496;1;0*OFF
5584;1;1*WARNING
1188;32763;12.727308
2791;32763;36.455364
1127;32748;1*NORMAL
197;1;1*OPEN
2741;32763;9.741119
2839;32759;0.000000
3172;32759;1*NORMAL
6539;1;28.216553
6415;1;0*OFF
488;1;0*OFF
5718;1;-28.058558
4956;32748;1*NORMAL
