"NO.2 H/D COMP. SHAFT BEARING TEMP. HH (TC);TAHHHD040_08;pv	"
"NO.2 H/D COMP. BHD SEAL TEMP. HH (TC);TAHHHD040_09;pv	"
"1 N2 GEN CP OUT AIR T H;TAHNG010;pv	"
"2 N2 GEN CP OUT AIR T H;TAHNG019;pv	"
"NO.1 BO/WU HTR COND. TEMP. LL (TC);TALLBW005_01;pv	"
"NO.2 BO/WU HTR COND. TEMP. LL (TC);TALLBW013_01;pv	"
"FORC. VAP. STM COND. TEMP. LL (TC);TALLFV010_01;pv	"
"LNG VAP. STM COND. TEMP. LL (TC);TALLLV010_01;pv	"
"1C TK FWD BHD S UPP TEMP;TIALCC001;pv	"
"1C TK FWD BHD P UPP TEMP;TIALCC002;pv	"
"1C TK FWD BHD S LOW TEMP;TIALCC003;pv	"
"1C TK FWD BHD P LOW TEMP;TIALCC004;pv	"
"1C TK AFT BHD S UPP TEMP;TIALCC005;pv	"
"1C TK AFT BHD P UPP TEMP;TIALCC006;pv	"
"1C TK AFT BHD S LOW TEMP;TIALCC007;pv	"
"1C TK AFT BHD P LOW TEMP;TIALCC008;pv	"
"1C TK PASS AFT S TEMP;TIALCC009;pv	"
"1C TK PASS FWD P TEMP;TIALCC010;pv	"
"1C TK TRUNK SPACE TEMP;TIALCC011;pv	"
"1C TK PIPE DUCT TEMP;TIALCC012;pv	"
"1C TK SEC SP TOP TEMP;TIALCC013;pv	"
"1C TK SEC SP F P U CNR T;TIALCC014;pv	"
"1C TK SEC SP A S U CNR T;TIALCC015;pv	"
"1C TK SEC SP F P U TEMP;TIALCC016;pv	"
"1C TK SEC SP F P L TEMP;TIALCC017;pv	"
"1C TK SEC SP A S U TEMP;TIALCC018;pv	"
"1C TK SEC SP A S L TEMP;TIALCC019;pv	"
"1C TK SEC SP F C U TEMP;TIALCC020;pv	"
"1C TK SEC SP F C L TEMP;TIALCC021;pv	"
"1C TK SEC SP A C M TEMP;TIALCC022;pv	"
"1C TK SEC SP A S B TEMP;TIALCC023;pv	"
"1C TK SEC SP P/P TWR B T;TIALCC024;pv	"
"1C TK SEC SP B C TEMP;TIALCC025;pv	"
"1C TK SEC SP A P B TEMP;TIALCC026;pv	"
"2C TK FWD BHD CENT TEMP;TIALCC027;pv	"
"2C TK FWD BHD S UPP TEMP;TIALCC028;pv	"
"2C TK FWD BHD P UPP TEMP;TIALCC029;pv	"
"2C TK FWD BHD S LOW TEMP;TIALCC030;pv	"
"2C TK FWD BHD P LOW TEMP;TIALCC031;pv	"
"2C TK AFT BHD S UPP TEMP;TIALCC032;pv	"
"2C TK AFT BHD P UPP TEMP;TIALCC033;pv	"
"2C TK AFT BHD S LOW TEMP;TIALCC034;pv	"
"2C TK AFT BHD P LOW TEMP;TIALCC035;pv	"
"2C TK PASS AFT S TEMP;TIALCC036;pv	"
"2C TK PASS FWD P TEMP;TIALCC037;pv	"
"2C TK TRUNK SPACE TEMP;TIALCC038;pv	"
"2C TK PIPE DUCT TEMP;TIALCC039;pv	"
"2C TK SEC SP TOP TEMP;TIALCC040;pv	"
"2C TK SEC SP F P U CNR T;TIALCC041;pv	"
"2C TK SEC SP A S U CNR T;TIALCC042;pv	"
"2C TK SEC SP F P U TEMP;TIALCC043;pv	"
"2C TK SEC SP F P L TEMP;TIALCC044;pv	"
"2C TK SEC SP A S U TEMP;TIALCC045;pv	"
"2C TK SEC SP A S L TEMP;TIALCC046;pv	"
"2C TK SEC SP F C U TEMP;TIALCC047;pv	"
"2C TK SEC SP F C L TEMP;TIALCC048;pv	"
"2C TK SEC SP A C M TEMP;TIALCC049;pv	"
"2C TK SEC SP A S B TEMP;TIALCC050;pv	"
"2C TK SEC SP P/P TWR B T;TIALCC051;pv	"
"2C TK SEC SP B C TEMP;TIALCC052;pv	"
"2C TK SEC SP A P B TEMP;TIALCC053;pv	"
"3C TK FWD BHD CENT TEMP;TIALCC054;pv	"
"3C TK FWD BHD S UPP TEMP;TIALCC055;pv	"
"3C TK FWD BHD P UPP TEMP;TIALCC056;pv	"
"3C TK FWD BHD S LOW TEMP;TIALCC057;pv	"
"3C TK FWD BHD P LOW TEMP;TIALCC058;pv	"
"3C TK AFT BHD S UPP TEMP;TIALCC059;pv	"
"3C TK AFT BHD P UPP TEMP;TIALCC060;pv	"
"3C TK AFT BHD S LOW TEMP;TIALCC061;pv	"
"3C TK AFT BHD P LOW TEMP;TIALCC062;pv	"
"3C TK PASS AFT S TEMP;TIALCC063;pv	"
"3C TK PASS FWD P TEMP;TIALCC064;pv	"
"3C TK TRUNK SPACE TEMP;TIALCC065;pv	"
"3C TK PIPE DUCT TEMP;TIALCC066;pv	"
"3C TK SEC SP TOP TEMP;TIALCC067;pv	"
"3C TK SEC SP F P U CNR T;TIALCC068;pv	"
"3C TK SEC SP A S U CNR T;TIALCC069;pv	"
"3C TK SEC SP F P U TEMP;TIALCC070;pv	"
"3C TK SEC SP F P L TEMP;TIALCC071;pv	"
"3C TK SEC SP A S U TEMP;TIALCC072;pv	"
"3C TK SEC SP A S L TEMP;TIALCC073;pv	"
"3C TK SEC SP F C U TEMP;TIALCC074;pv	"
"3C TK SEC SP F C L TEMP;TIALCC075;pv	"
"3C TK SEC SP A C M TEMP;TIALCC076;pv	"
"3C TK SEC SP A S B TEMP;TIALCC077;pv	"
"3C TK SEC SP P/P TWR B T;TIALCC078;pv	"
"3C TK SEC SP B C TEMP;TIALCC079;pv	"
"3C TK SEC SP A P B TEMP;TIALCC080;pv	"
"4C TK FWD BHD CENT TEMP;TIALCC081;pv	"
"4C TK FWD BHD S UPP TEMP;TIALCC082;pv	"
"4C TK FWD BHD P UPP TEMP;TIALCC083;pv	"
"4C TK FWD BHD S LOW TEMP;TIALCC084;pv	"
"4C TK FWD BHD P LOW TEMP;TIALCC085;pv	"
"4C TK AFT BHD S UPP TEMP;TIALCC086;pv	"
"4C TK AFT BHD P UPP TEMP;TIALCC087;pv	"
"4C TK AFT BHD S LOW TEMP;TIALCC088;pv	"
"4C TK AFT BHD P LOW TEMP;TIALCC089;pv	"
"4C TK PASS AFT S TEMP;TIALCC090;pv	"
"4C TK PASS FWD P TEMP;TIALCC091;pv	"
"4C TK TRUNK SPACE TEMP;TIALCC092;pv	"
"4C TK PIPE DUCT TEMP;TIALCC093;pv	"
"4C TK SEC SP TOP TEMP;TIALCC094;pv	"
"4C TK SEC SP F P U CNR T;TIALCC095;pv	"
"4C TK SEC SP A S U CNR T;TIALCC096;pv	"
"4C TK SEC SP F P U TEMP;TIALCC097;pv	"
"4C TK SEC SP F P L TEMP;TIALCC098;pv	"
"4C TK SEC SP A S U TEMP;TIALCC099;pv	"
"4C TK SEC SP A S L TEMP;TIALCC100;pv	"
"4C TK SEC SP F C U TEMP;TIALCC101;pv	"
"4C TK SEC SP F C L TEMP;TIALCC102;pv	"
"4C TK SEC SP A C M TEMP;TIALCC103;pv	"
"4C TK SEC SP A S B TEMP;TIALCC104;pv	"
"4C TK SEC SP P/P TWR B T;TIALCC105;pv	"
"4C TK SEC SP B C TEMP;TIALCC106;pv	"
"4C TK SEC SP A P B TEMP;TIALCC107;pv	"
"NO.1 H/D COMP. SHAFT VIB. HH (TC);VAHHHD019_11;pv	"
"NO.2 H/D COMP. SHAFT VIB. HH (TC);VAHHHD040_11;pv	"
"NO.1 BO/WU HTR COMMON TRIP ALARM;XABW005;pv	"
"NO.1 BO/WU HTR MANUAL TRIP ALARM (TC);XABW005_03;pv	"
"NO.2 BO/WU HTR COMMON TRIP ALARM;XABW013;pv	"
"NO.2 BO/WU HTR MANUAL TRIP ALARM (TC);XABW013_03;pv	"
"NO.1 C. TK 1 C. P/P OVERLOAD (TC);XACP003_01;pv	"
"NO.1 C. TK 1 C. P/P MOTOR EARTH FAULT (TC);XACP003_07;pv	"
"NO.1 C. TK 1 C. P/P SINGLE PHASE RUN AL. (TC);XACP003_08;pv	"
"NO.1 C. TK 2 C. P/P OVERLOAD (TC);XACP006_01;pv	"
"NO.1 C. TK 2 C. P/P MOTOR EARTH FAULT (TC);XACP006_07;pv	"
"NO.1 C. TK 2 C. P/P SINGLE PHASE RUN AL. (TC);XACP006_08;pv	"
"NO.2 C. TK 1 C. P/P OVERLOAD (TC);XACP009_01;pv	"
"NO.2 C. TK 1 C. P/P MOTOR EARTH FAULT (TC);XACP009_07;pv	"
"NO.2 C. TK 1 C. P/P SINGLE PHASE RUN AL. (TC);XACP009_08;pv	"
"NO.2 C. TK 2 C. P/P OVERLOAD (TC);XACP012_01;pv	"
"NO.2 C. TK 2 C. P/P MOTOR EARTH FAULT (TC);XACP012_07;pv	"
"NO.2 C. TK 2 C. P/P SINGLE PHASE RUN AL. (TC);XACP012_08;pv	"
"NO.3 C. TK 1 C. P/P OVERLOAD (TC);XACP015_01;pv	"
"NO.3 C. TK 1 C. P/P MOTOR EARTH FAULT (TC);XACP015_07;pv	"
"NO.3 C. TK 1 C. P/P SINGLE PHASE RUN AL. (TC);XACP015_08;pv	"
"NO.3 C. TK 2 C. P/P OVERLOAD (TC);XACP018_01;pv	"
"NO.3 C. TK 2 C. P/P MOTOR EARTH FAULT (TC);XACP018_07;pv	"
"NO.3 C. TK 2 C. P/P SINGLE PHASE RUN AL. (TC);XACP018_08;pv	"
"NO.4 C. TK 1 C. P/P OVERLOAD (TC);XACP021_01;pv	"
"NO.4 C. TK 1 C. P/P MOTOR EARTH FAULT (TC);XACP021_07;pv	"
"NO.4 C. TK 1 C. P/P SINGLE PHASE RUN AL. (TC);XACP021_08;pv	"
"NO.4 C. TK 2 C. P/P OVERLOAD (TC);XACP024_01;pv	"
"NO.4 C. TK 2 C. P/P MOTOR EARTH FAULT (TC);XACP024_07;pv	"
"NO.4 C. TK 2 C. P/P SINGLE PHASE RUN AL. (TC);XACP024_08;pv	"
"NO.1 C. TK STRIP. P/P OVERLOAD (TC);XACS003_01;pv	"
"NO.1 C. TK STRIP. P/P MOTOR INS. L;XACS003_06;pv	"
"NO.2 C. TK STRIP. P/P OVERLOAD (TC);XACS006_01;pv	"
"NO.2 C. TK STRIP. P/P MOTOR INS. L;XACS006_06;pv	"
"NO.3 C. TK STRIP. P/P OVERLOAD (TC);XACS009_01;pv	"
"NO.3 C. TK STRIP. P/P MOTOR INS. L;XACS009_06;pv	"
"NO.4 C. TK STRIP. P/P OVERLOAD (TC);XACS012_01;pv	"
"NO.4 C. TK STRIP. P/P MOTOR INS. L;XACS012_06;pv	"
"CARGO IAS CSL UPS ABNOR;XACSYS071;pv	"
"EQR IAS CAB UPS ABNOR;XACSYS072;pv	"
"*EM'CY C P/P OV-LD;XAEP003_01;pv	"
"*EM'CY C P/P MTR INS L;XAEP003_09;pv	"
"*E C P/P MTR SIN PH RUN;XAEP003_10;pv	"
"NO.1 C. TK PROTEC. ACT;XAES005;pv	"
"NO.2 C. TK PROTEC. ACT;XAES006;pv	"
"NO.3 C. TK PROTEC. ACT;XAES007;pv	"
"NO.4 C. TK PROTEC. ACT;XAES008;pv	"
"FORC. VAP. PR COMMON TRIP ALARM;XAFV010;pv	"
"FORC. VAP. MANUAL TRIP ALARM (TC);XAFV010_04;pv	"
"NO1 ACCO. TB PWR FAIL;XAGD003_02;pv	"
"NO2 ACCO. TB PWR FAIL;XAGD003_03;pv	"
"GAS REPEAT PNL FCS FAIL;XAGD006;pv	"
"GAS REPEAT PNL ECR FAIL;XAGD007;pv	"
"GAS REPEAT PNL W/H FAIL;XAGD008;pv	"
"NO.1 GLY. W. P/P MTR ABNORMAL;XAGW001_04;pv	"
"NO.1 GW HTR STM IN V/V TRIP;XAGW003;pv	"
"NO.2 GLY. W. P/P MTR ABNORMAL;XAGW012_04;pv	"
"NO.2 GW HTR STM IN V/V TRIP;XAGW014;pv	"
"NO.1 H/D COMP TRIP;XAHD019;pv	"
"NO.1 H/D COMP. AUX. L.O P/P FAIL (TC);XAHD019_01;pv	"
"NO.1 H/D COMP. MOTOR ABNORMAL (TC);XAHD019_02;pv	"
"NO.1 H/D COMP. EM'CY STOP (TC);XAHD019_03;pv	"
"NO.1 H/D COMP. CONT. SYS. FAIL (TC);XAHD019_04;pv	"
"NO.2 H/D COMP TRIP;XAHD040;pv	"
"NO.2 H/D COMP. AUX L.O P/P MOTOR FAIL (TC);XAHD040_01;pv	"
"NO.2 H/D COMP. MTR ABNORMAL (TC);XAHD040_02;pv	"
"NO.2 H/D COMP. EM'CY STOP (TC);XAHD040_03;pv	"
"NO.2 H/D COMP. CONT. SYS FAIL (TC);XAHD040_04;pv	"
"LNG. VAP. PR COMMON TRIP ALARM;XALV010;pv	"
"LNG VAP. MANUAL TRIP ALARM (TC);XALV010_03;pv	"
"SHIP/SHORE COMM. SYSTEM ABNORMAL;XAMX005;pv	"
"FEED AIR COMP 1 ABNOR;XANG002_01;pv	"
"1C TK 1C P/P PREPARATION;XLCP001_05;pv	"
"1C TK 2C P/P PREPARATION;XLCP004_05;pv	"
"2C TK 1C P/P PREPARATION;XLCP007_05;pv	"
"2C TK 2C P/P PREPARATION;XLCP010_05;pv	"
"3C TK 1C P/P PREPARATION;XLCP013_05;pv	"
"3C TK 2C P/P PREPARATION;XLCP016_05;pv	"
"4C TK 1C P/P PREPARATION;XLCP019_05;pv	"
"4C TK 2C P/P PREPARATION;XLCP022_05;pv	"
"2 H/D COMP PREPARATION;XLHD022_06;pv	"
"IGG SCRUB. W.OUT V/V OPN;ZLHIG033;pv	"
"BALLAST/DEBALLAST VOLUMETRIC FLOW RATE CALCULATION;BAL_VOL;pv	"
"BALLAST P/P RUN Q'TY;BPRUNQTY;pv	"
"BALLAST VALVE SEQUENCE VARIABLES;CA051V;pv	"
"BALLAST VALVE SEQUENCE VARIABLES;CA052V;pv	"
"BALLAST VALVE SEQUENCE VARIABLES;CA053V;pv	"
"BALLAST VALVE SEQUENCE VARIABLES;CA054V;pv	"
"BALLAST VALVE SEQUENCE VARIABLES;CA05V;pv	"
"1ST DEBALLAST PUMP SELECTION;CA06LB01;pv	"
"2ND DEBALLAST PUMP SELECTION;CA06LB02;pv	"
"1ST BALLAST PUMP SELECTION;CA06LB03;pv	"
"2ND BALLAST PUMP SELECTION;CA06LB04;pv	"
"BALLAST/DEBALLAST PUMP SELECTION;CA06LB05;pv	"
"NO OF BALLAST OPEN VALVE COUNT;CA06LB06;pv	"
"NO OF BALLAST OPEN VALVE COUNT;CA06LB06_1;pv	"
"NO OF DEBALLAST OPEN VALVE COUNT;CA06LB07;pv	"
"BALLAST PUMP SEQUENCE VARIABLES;CA06V;pv	"
"CARGO OPERATION GUIDANCE;CA101V;pv	"
"CARO VOLUMN AND FLOW RATE;CARGO_VOL;pv	"
"CONFIRM;CFMCTL_CM1;pv	"
"CONFIRM;CFMCTL_CM2;pv	"
"NO.1 BAL. P/P AMPERE;CIBL001_06;pv	"
"NO.2 BAL. P/P AMPERE ;CIBL005_06;pv	"
"NO.3 BAL. P/P AMPERE;CIBL009_06;pv	"
"NO.1 H/D COMP. AMPERE;CIHD001_07;pv	"
"NO.2 H/D COMP. AMPERE;CIHD022_07;pv	"
"NO.1 H/D COMP;CPHD001;pv	"
"NO.2 H/D COMP;CPHD022;pv	"
"CARGO PUMP RUNNING QTY;CPRUNQTY;pv	"
"NO.1 C. TK 1 C. P/P CURRENT;CRCCP002;pv	"
"NO.1 C. TK 2 C. P/P CURRENT;CRCCP005;pv	"
"NO.2 C. TK 1 C. P/P CURRENT;CRCCP008;pv	"
"NO.2 C. TK 2 C. P/P CURRENT;CRCCP011;pv	"
"NO.3 C. TK 1 C. P/P CURRENT;CRCCP014;pv	"
"NO.3 C. TK 2 C. P/P CURRENT;CRCCP017;pv	"
"NO.4 C. TK 1 C. P/P CURRENT;CRCCP020;pv	"
"NO.4 C. TK 2 C. P/P CURRENT;CRCCP023;pv	"
"NO.1 C. TK STRIP. P/P CURRENT;CRCCS002;pv	"
"NO.2 C. TK STRIP. P/P CURRENT;CRCCS005;pv	"
"NO.3 C. TK STRIP. P/P CURRENT;CRCCS008;pv	"
"NO.4 C. TK STRIP. P/P CURRENT;CRCCS011;pv	"
"EM'CY C P/P CURRENT;CRCEP002;pv	"
"FWD DRAFT;DIRG009;pv	"
"MID DRAFT PORT;DIRG010;pv	"
"MID DRAFT STBD;DIRG011;pv	"
"AFT DRAFT;DIRG012;pv	"
"NO.1 H/D COMP. OIL FILTER DIFF. PRESS. H;DPAHHD005;pv	"
"NO.2 H/D COMP. OIL FILTER DIFF. PRESS. H;DPAHHD026;pv	"
"FWD DRAFT;DPCRG009;pv	"
"MID DRAFT PORT;DPCRG010;pv	"
"MID DRAFT STBD;DPCRG011;pv	"
"AFT DRAFT;DPCRG012;pv	"
"NO.1 C. TK/PRI. SP. DIFF. PRESS. VL;DPICAVLGM005;pv	"
"NO.2 C. TK/PRI. SP. DIFF. PRESS. VL;DPICAVLGM010;pv	"
"NO.3 C. TK/PRI. SP. DIFF. PRESS. VL;DPICAVLGM015;pv	"
"NO.4 C. TK/PRI. SP. DIFF. PRESS. VL;DPICAVLGM020;pv	"
"FORC. VAP. OUT DIFF. PRESS;DPIFV001;pv	"
"VAPOR FROM SHORE DIFF. PRESS;DPIGH005;pv	"
"VAPOR TO SHORE DIFF. PRESS;DPIGH008;pv	"
"VAPOR TO ATMOSPHERE DIFF. PRESS;DPIGH022;pv	"
"VAPOR TO BOILER LINE DIFF. PRESS;DPIGH027;pv	"
"NO.1 GLY. W. STM HTR DIFF.  PRESS;DPIGW004;pv	"
"NO.2 GLY. W. STM HTR DIFF.  PRESS;DPIGW015;pv	"
"NO.1 H/D COMP. SUC. GAS FLOW;DPIHD013;pv	"
"NO.1 H/D COMP. SUC. GAS FLOW;DPIHD013_1;pv	"
"NO.2 H/D COMP. SUC. GAS FLOW;DPIHD034;pv	"
"NO.2 H/D COMP. SUC. GAS FLOW;DPIHD034_1;pv	"
"LNG. VAP. OUT DIFF. PRESS;DPILV001;pv	"
"N2 PURGE MAIN LINE DIFF. PRESS;DPINP009;pv	"
"ELEC. HTR. AUTO CONTROL;ELECHTR;pv	"
"ELEC. HTR. AUTO CONTROL;ELECHTR_CTL;pv	"
"FORC. VAP. OUT FLOW;FICFV006;pv	"
"FORC. VAP. OUT ACCUM. FLOW;FICFV006_04;pv	"
"LNG. VAP.  OUT FLOW;FICLV006;pv	"
"VAPOR FROM SHORE FLOW;FIGH006;pv	"
"VAPOR FROM SHORE ACCUM. FLOW;FIGH006_01;pv	"
"VAPOR TO SHORE FLOW;FIGH009;pv	"
"VAPOR TO SHORE ACCUM. FLOW;FIGH009_01;pv	"
"VAPOR TO ATMOSPHERE FLOW;FIGH024;pv	"
"VAPOR TO ATMOSPHERE ACCUM. FLOW;FIGH024_01;pv	"
"VAPOR TO BOILER LINE FLOW;FIGH030;pv	"
"VAPOR TO BOILER LINE ACCUM. FLOW;FIGH030_01;pv	"
"LNG. VAP. OUT ACCUM. FLOW;FILV005;pv	"
"LNG. VAP. PR OUT FLOW ACC;FILV005_SMS;pv	"
"N2 PURGE MAIN LINE ACCUM. FLOW;FINP010_01;pv	"
"N2 PURGE MAIN FLOW ACC;FINP010_SMS;pv	"
"AFT C/C/R EXH FAN;FNMX001;pv	"
"AFT C/C/R EXH FAN GAS TRIP OVERRIDE;FNMX001_TB;pv	"
"FWD C/C/R EXH. FAN;FNMX002;pv	"
"FWD C/C/R EXH. FAN GAS TRIP OVERRIDE;FNMX002_TB;pv	"
"E/M/R SUPP FAN 1;FNMX003;pv	"
"E/M/R SUPP FAN 2;FNMX004;pv	"
"FORC. VAP. OUTL. FLOW CONT;FRCFV006;pv	"
"NO.1 H/D COMP. IGV CONT;FRCHD013;pv	"
"NO.2 H/D COMP. IGV CONT;FRCHD034;pv	"
"LNG. VAP. OUTL. FLOW CONT;FRCLV006;pv	"
"FORC. VAP. PR OUT FLOW;FRPFV006_SMS;pv	"
"NET BOG REQ.UIRE FM BLR;FRPFV006_SUM;pv	"
"VAPOR FM SHORE FLOW;FRPGH006_SMS;pv	"
"VAPOR TO SHORE FLOW;FRPGH009_SMS;pv	"
"ASSUMED BOG FLOW;FRPGH018_LAG;pv	"
"VAPOR TO ATM FLOW;FRPGH024_SMS;pv	"
